Year,Temp,Rain,PrevRain,Age,Price
1952,17.12,160,600,31,0.368
1953,16.73,80,690,30,0.635
1955,17.15,130,502,28,0.446
1957,16.13,110,420,26,0.221
1958,16.42,187,582,25,0.18
1959,17.48,187,485,24,0.658
1960,16.42,290,763,23,0.139
1961,17.33,38,830,22,1
1962,16.3,52,697,21,0.331
1963,15.72,155,608,20,0.168
1964,17.27,96,402,19,0.306
1965,15.37,267,602,18,0.106
1966,16.53,86,819,17,0.473
1967,16.23,118,714,16,0.191
1968,16.2,292,610,15,0.105
1969,16.55,244,575,14,0.117
1970,16.67,89,622,13,0.404
1971,16.77,112,551,12,0.272
1972,14.98,158,536,11,0.101
1973,17.07,123,376,10,0.156
1974,16.3,184,574,9,0.111
1975,16.95,171,572,8,0.301
1976,17.65,247,418,7,0.253
1977,15.58,87,821,6,0.107
1978,15.82,51,763,5,0.27
1979,16.17,122,717,4,0.214
1980,16,74,578,3,0.136
